"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Display Type"
"Pierce Pacific Manufacturing ","4424 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0143","Yes","Yes",33,"33"
"Ash Grove Cement Company Cement Distribution Ctr","3737 N PORT CENTER WAY, PORTLAND, OR 97217","www.portlandcleanair.org/26-0146","Yes","Yes",33,"33"
"EZFlow, Limited Partnership ","3004 N Wygant St, Portland, OR 97217","www.portlandcleanair.org/26-0157","Yes","No",33,"33"
"SoloPower, Inc. ","6308 N. MARINE DRIVE, PORTLAND, OR 97203","www.portlandcleanair.org/26-0207","Yes","No",33,"33"
"Morgan Truck Body LLC Morgan Corporation","4436 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0236","Yes","Yes",33,"33"
"Rose City Printing and Publishing, Inc. Rose City Printing and Packaging","18683 NE SANDY BLVD, GRESHAM, OR 97230","www.portlandcleanair.org/26-0238","Yes","No",33,"33"
"Glass to Glass LLC ECOI","866 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-0242","Yes","No",33,"33"
"Galvanizers Company ","2406 NW 30TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1885","Yes","Yes",33,"33"
"Supreme Perlite Company ","4600 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-2390","Yes","No",33,"33"
"Cardinal Aluminum ","6800 NE 59TH PL, PORTLAND, OR 97218","www.portlandcleanair.org/26-2435","Yes","Yes",33,"33"
"Eco Services Operations, LLC ","4429 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-2548","Yes","Yes",33,"33"
"Portland State University Fourth Avenue Building","1900 SW 4th Ave, PORTLAND, OR 97201","www.portlandcleanair.org/26-2832","Yes","No",33,"33"
"Koppers, Inc. ","7540 NW ST. HELENS RD., PORTLAND, OR 97210","www.portlandcleanair.org/26-2930","Yes","No",33,"33"
"Ross Island Sand & Gravel Co. Tait Dry Mix & Redimix Plant","2611 SE 4TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-3006","Yes","No",33,"33"
"International Paper Company ","1601 NE 192ND AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3051","Yes","Yes",33,"33"
"SSA Pacific, Inc. Portland BulkTerminal 5","15550 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-3071","Yes","No",33,"33"
"Olympic Pipe Line Co. Portland Delivery Facilit","9420 NW ST HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-3072","Yes","No",33,"33"
"RUSCO, Inc Dura Industries","4466 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-3112","Yes","No",33,"33"
"City Of Gresham Wastewater Treatment Plnt","20015 NE SANDY BLVD, GRESHAM, OR 97030","www.portlandcleanair.org/26-3228","Yes","No",33,"33"
"Lacamas Laboratories ","3625 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3230","Yes","Yes",33,"33"
"Hickory Springs Of California, LLC HSM Solutions","3900 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3266","Yes","No",33,"33"
"US Bancorp ","17650 NE SANDY BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-3267","Yes","No",33,"33"
"Oldcastle Building Products Inc. Central Premix Concrete Products Inc.","1402 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-3272","Yes","Yes",33,"33"
"Portland General Electric Company Portland Service Center","3700 SE 17TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-9550","Yes","Yes",33,"33"
"Signature Graphics, Inc. ","15040 NE MASON ST, PORTLAND, OR 97230","www.portlandcleanair.org/26-9554","Yes","No",33,"33"
"RB Recycling ","8501 N BORTHWICK, PORTLAND, OR 97217","www.portlandcleanair.org/26-9818","Yes","No",33,"33"
"Craft Brewers Alliance, Inc. Widmer Brothers Brewing Company","924 N RUSSELL ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-0024","Yes","Yes",34,"34"
"Millbank Materials USA Ltd Tenex Management Ltd","15540 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0249","Yes","Yes",34,"34"
"AjinomotoWindsor, Inc. ","7124 N MARINE DR, PORTLAND, OR 97203","www.portlandcleanair.org/26-3293","Yes","Yes",34,"34"
"Harris Soup Company, an Oregon Corporation Harris Soup Company","17711 NE RIVERSIDE PKWY, PORTLAND, OR 97230","www.portlandcleanair.org/26-9534","Yes","No",34,"34"
"The Sherwin Williams Company Purdy Corporation","13201 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-9542","Yes","Yes",34,"34"
"Multnomah County School Dist.1 Madison High School","2735 NE 82ND AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-9553","Yes","No",34,"34"
"East Side Plating, Inc. Plant #5","1300 SE 2ND AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0018","Yes","Yes",2,"Other"
"Electro-Chem Metal Finishing, Inc. ","4849 SE 26TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-0065","Yes","Yes",5,"Other"
"U.S. Dept. Of Veterans Affairs ","3710 SW US VETERANS HOSPITAL RD, PORTLAND, OR 97239","www.portlandcleanair.org/26-2955","Yes","No",11,"11"
"Alpenrose Dairy, Inc. ","6149 SW SHATTUCK RD, PORTLAND, OR 97221","www.portlandcleanair.org/26-2771","Yes","Yes",11,"11"
"East Side Plating, Inc. Plant #1, 2 and 3","8400 SE 26TH PL, PORTLAND, OR 97202","www.portlandcleanair.org/26-3036","Yes","Yes",2,"Other"
"WEVCO Biodiesel, Inc. ","11535 N FORCE AVE, PORTLAND, OR 97217","www.portlandcleanair.org/26-0148","Yes","No",40,"40"
"Collision Rebuilders, Inc. ","2077 NW MARSHALL ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-0192","Yes","No",40,"40"
"Mr. Formal, Inc. ","1205 SE GRAND AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0204","Yes","No",40,"40"
"Bors Incorporated Rivergate Scrap Metals","9645 N COLUMBIA BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-0220","Yes","No",40,"40"
"Beaver Biodiesel LLC Beaver Biodiesel, Vertically Integrated Biofuels Hub","2505 NW 28TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0230","Yes","No",40,"40"
"Greenway Recycling, LLC Greenway Recycling","4135 NW ST. HELENS ROAD, PORTLAND, OR 97211","www.portlandcleanair.org/26-0231","Yes","No",40,"40"
"Archer Daniels - Midland Co ","13940 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-0234","Yes","Yes",40,"40"
"NW Natural Corporation NW Natural - Gasco Site","7900 NW SAINT HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-0237","Yes","No",40,"40"
"City of Portland Municipal Government Portland Police Training Center","14912 NE AIRPORT WAY, PORTLAND, OR 97230","www.portlandcleanair.org/26-0240","Yes","No",40,"40"
"FedEx Ground Package System Inc ","2460 NW SUNDIAL RD, TROUTDALE, OR 97060","www.portlandcleanair.org/26-0246","Yes","Yes",40,"40"
"Univar USA Inc ","3950 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0250","Yes","Yes",40,"40"
"Fred Meyer Stores, Inc. Fred Meyer Fuel  #040","8420 SW 24TH AVE, PORTLAND, OR 97219","www.portlandcleanair.org/26-0252","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. SW Alfred tower","5010 SW ALFRED ST, PORTLAND, OR 97219","www.portlandcleanair.org/26-0254","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. NE Fremont Tower","10424 NE FREMONT ST, PORTLAND, OR 97220","www.portlandcleanair.org/26-0255","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. NE 28th Street Tower","1126 NE 28TH AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-0256","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. NE 99th St Tower","414 NE 99TH AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-0257","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. N Suttle Rd Tower","3620 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-0258","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. NE Halsey Tower","19601 NE HALSEY ST, GRESHAM, OR 97230","www.portlandcleanair.org/26-0259","Yes","No",40,"40"
"New Cingular Wireless PCS, Inc. NE 3rd Ave Tower","123 NE 3RD AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-0260","Yes","No",40,"40"
"Comcast Cable Corporation Troutdale Headend","540 SW HALSEY ST, TROUTDALE, OR 97060","www.portlandcleanair.org/26-0264","Yes","No",40,"40"
"New Cingular Wireless PCS, LLC dba ATT Mobility","1300 NE 16TH AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-0266","Yes","No",40,"40"
"New Cingular Wireless PCS, LLC dba ATT Mobility","5516 SW BARNES RD, PORTLAND, OR 97221","www.portlandcleanair.org/26-0267","Yes","No",40,"40"
"New Cingular Wireless PCS, LLC dba ATT Mobility","337 SW ALDER ST, PORTLAND, OR 97204","www.portlandcleanair.org/26-0268","Yes","No",40,"40"
"Nes Cingular Wireless PCS, LLC dba ATT Mobility","1040 NE 44TH AVE, PORTLAND, OR 97213","www.portlandcleanair.org/26-0269","Yes","No",40,"40"
"New Cingular Wireless PCS, LLC dba ATT Mobility","8703 SW BEAVERTON HILLSDALE HWY, PORTLAND, OR 97225","www.portlandcleanair.org/26-0270","Yes","No",40,"40"
"PPV, Inc. Pacific Powervac","4530 NE 138TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-9538","Yes","No",40,"40"
"MKC, Inc. ","1832 NW RALEIGH ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-9543","Yes","No",40,"40"
"CAMCO Manufacturing, Inc. ","6840 N FATHOM ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-9544","Yes","No",40,"40"
"FT Material Solutions, Inc. ","22667 NE TOWNSEND WAY, FAIRVIEW, OR 97024","www.portlandcleanair.org/26-9561","Yes","No",40,"40"
"EAST PORTLAND MAINTENANCE ","5315 NE 101ST AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-9752","Yes","No",40,"40"
"NORTH PORTLAND MAINTENANCE ","1100 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-9774","Yes","Yes",40,"40"
"Rogers Northwest, Inc. ","21455 SW 120TH AVE, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2636","Yes","No",7,"Other"
"Baker Rock Resources ","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2637","Yes","Yes",7,"Other"
"Morse Bros., Inc. Knife River - Coffee Lake","12000 SW TONQUIN RD, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2775","Yes","Yes",7,"Other"
"Morse Bros., Inc. dba Knife River Knife River Coffee Lake Crusher","11985 SW WALDO WAY, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2674","Yes","No",8,"Other"
"Van Doren Red-E-Mix, Inc. ","1910 26TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2034","Yes","No",9,"9"
"Pacific Rock Products, LLC Tualatin Plant","18610 SW PACIFIC DR., SHERWOOD, OR 97140","www.portlandcleanair.org/34-2583","Yes","No",9,"9"
"Wilsonville Concrete Products Beaverton Site","6700 SW 110TH AVE, BEAVERTON, OR 97008","www.portlandcleanair.org/34-2640","Yes","No",9,"9"
"Baker Rock Resources ","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2737","Yes","Yes",9,"9"
"Glacier Northwest, Inc. Hillsboro Readymix","21480 NW AMBERWOOD DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2769","Yes","No",9,"9"
"Fox Lumber Sales, Inc. Fox Lumber - Gaston Operations","49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119","www.portlandcleanair.org/34-0104","Yes","No",10,"Other"
"Banks Lumber Co. ","42060 NW SUNSET AVE, BANKS, OR 97106","www.portlandcleanair.org/34-2565","Yes","No",10,"Other"
"Woodfold Mfg., Inc. ","1811 18TH ST, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2584","Yes","No",10,"Other"
"Oregon-Canadian Forest Products, Inc. ","31450 NW COMMERCIAL AVE, NORTH PLAINS, OR 97133","www.portlandcleanair.org/34-2688","Yes","No",10,"Other"
"Suburban Door Co., Inc. ","12365 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-2792","Yes","Yes",10,"Other"
"Peterkort Roses, L.L.C. ","11815 SW HILLSBORO HWY, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0001","Yes","No",11,"11"
"Providence St. Vincent Medical Center ","9205 SW BARNES RD, PORTLAND, OR 97225","www.portlandcleanair.org/34-2585","Yes","Yes",11,"11"
"Portland Community College Rock Creek Campus","17705 NW SPRINGVILLE RD, PORTLAND, OR 97229","www.portlandcleanair.org/34-2639","Yes","Yes",11,"11"
"Oregon Roses, Inc. Plant F","1804 NW MARTIN RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2641","Yes","No",11,"11"
"Tuality Community Hospital ","335 SE 8TH AVE, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2759","Yes","No",11,"11"
"Cascade Funeral Directors ","8974 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0048","Yes","No",12,"12"
"Springer & Son, Inc. Aloha Funeral Home","4150 SW 185TH AVE, ALOHA, OR 97007","www.portlandcleanair.org/34-0070","Yes","No",12,"12"
"Finley-Sunset Hills Mortuary Sunset Hills Mortuary","6801 SW SUNSET HWY, PORTLAND, OR 97225","www.portlandcleanair.org/34-0090","Yes","No",12,"12"
"Washington County Dog Control ","1901 SE 24th Ave, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2630","Yes","No",12,"12"
"Fulton, Rose & Hoyt Funeral Home ","2308 PACIFIC AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-9691","Yes","No",12,"12"
"Jewett-Cameron Seed Company ","31345 NW BEACH RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2510","Yes","No",15,"Other"
"West Coast Coffee Company ","21400 NW Mauzey Rd, Hillsboro, OR 97124","www.portlandcleanair.org/34-0079","Yes","No",16,"16"
"Longbottom Coffee & Tea Inc. ","1281 NE 25TH ST, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2750","Yes","No",16,"16"
"Tata Communications (US) Inc. ","21101 NW EVERGREEN PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0022","Yes","No",18,"18"
"TriQuint Semiconductor, Inc. Electric Generator","2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0080","Yes","Yes",18,"18"
"Viawest , Inc. ","3935 NE ALOCLEK PL., HILLSBORO, OR 97124","www.portlandcleanair.org/34-0083","Yes","No",18,"18"
"Clean Water Services Dawson Creek Pump Station","SW CORNER OF NE CORNELL & BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0096","Yes","No",18,"18"
"Kaiser Foundation Health Plan of the Northwest dba Kaiser Permanente Kaiser Westside Medical Center","19301 NW VENETIAN DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0133","Yes","Yes",18,"18"
"Clean Water Services ","9835 NW 307TH AVE, NORTH PLAINS, OR 97133","www.portlandcleanair.org/34-0139","Yes","No",18,"18"
"City of Hillsboro Water Dept","30575 NW EVERGREEN RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0142","Yes","No",18,"18"
"City of Hillsboro Hillsboro WWTP","4475 SW FERN HILL RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0164","Yes","No",18,"18"
"ViaWest, Inc. ","23605 NW HUFFMAN ST, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0165","Yes","No",18,"18"
"SolarWorld Industries America LP ","25300 NW EVERGREEN BLVD, HILLSBORO, OR 97214","www.portlandcleanair.org/34-9508","Yes","No",18,"18"
"Helser Industries, Inc. ","10750 SW TUALATIN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0003","Yes","No",25,"Other"
"McClister, Inc. Lifetime Gate Co.","18155 SW TETON AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0102","Yes","No",25,"Other"
"Ammcon Corp. ","21450 NW WEST UNION RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0113","Yes","No",25,"Other"
"Jewell Attachments, LLC ","18135 SW BOONES FERRY RD, TUALATIN, OR 97224","www.portlandcleanair.org/34-0130","Yes","No",25,"Other"
"Westak of Oregon, Inc. Westak of Oregon","3941 24TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0097","Yes","Yes",26,"Other"
"Pioneer Metal Finishing Superior Metal Finishing","18240 SW 100TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0099","Yes","Yes",26,"Other"
"Pioneer Metal Finishing, LLC Pioneer Metal Finishing, LLC","19005 SW 125TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0107","Yes","Yes",26,"Other"
"Copper Knot Metal Finishing LLC ","1184 N FREMONT LN, CORNELIUS, OR 97113","www.portlandcleanair.org/34-0156","Yes","No",26,"Other"
"Anodizing Solutions, LLC ","12620 SW LEVETON DR, TUALATIN, OR 97062","www.portlandcleanair.org/34-0166","Yes","No",26,"Other"
"Pacific Truck Colors, Inc. ","19225 SW 125TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0015","Yes","No",27,"27"
"Landmark Ford, Inc. ","12000 SW 66TH AVE, TIGARD, OR 97223","www.portlandcleanair.org/34-0101","Yes","No",27,"27"
"Russ Auto Sales & Service, Inc. ","11880 SW Pacific Hwy, Tigard, OR 97223","www.portlandcleanair.org/34-0105","Yes","No",27,"27"
"Evers Auto Body and Painting ","155 SW FREEMAN AVE, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0112","Yes","No",27,"27"
"Oregon Collision Center ","1213 GALES CREEK RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0114","Yes","No",27,"27"
"Kramer's Auto Body & Car Stereo ","2632 19TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0115","Yes","No",27,"27"
"Strategic Printing and Manufacturing Solutions, Inc. ","9673 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0116","Yes","No",27,"27"
"Aero Air, LLC ","2050 NE 25TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0117","Yes","Yes",27,"27"
"Beaverton Auto Body & Paint LLC ","4330 SW 142ND AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-0121","Yes","No",27,"27"
"Kindred & Son, Inc. ","25599 SW 95TH AVE, WILSONVILLE, OR 97070","www.portlandcleanair.org/34-0123","Yes","No",27,"27"
"Ace Car Reconditioning, LLC ","15785 SW 72ND AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0124","Yes","No",27,"27"
"Meyer Sign Co. of Oregon ","15205 SW 74TH AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0125","Yes","No",27,"27"
"Reedville Body & Paint Co. ","21600 SW TUALATIN VALLEY HWY, ALOHA, OR 97006","www.portlandcleanair.org/34-0126","Yes","No",27,"27"
"Hurford Industries, Inc. Matrix Industries","16650 SW SHAW ST, BEAVERTON, OR 97007","www.portlandcleanair.org/34-0111","Yes","No",29,"Other"
"Northwest Structural Services, Inc. ","18201 SW BOONES FERRY RD, PORTLAND, OR 97224","www.portlandcleanair.org/34-0120","Yes","No",29,"Other"
"Stimson Lumber Company ","49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119","www.portlandcleanair.org/34-2066","Yes","No",31,"31"
"DMH, Inc. ","3802 & 3804 24TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2756","Yes","No",31,"31"
"Hillsboro Landfill, Inc. ","3205 SE MINTER BRIDGE ROAD, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0004","Yes","No",32,"32"
"Fought & Company, Inc. ","14255 SW 72ND AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0007","Yes","Yes",32,"32"
"Oorvo-TriQuint Semiconductor Oorvo-TriQuint Semiconductor","2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0055","Yes","Yes",32,"32"
"Willbanks International, Inc dba CoorsTek, Inc.","555 NE 53RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0067","Yes","No",32,"32"
"Lakeside Lumber Company ","10600 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0081","Yes","No",32,"32"
"Baker Rock Crushing Co. dba Baker Rock Resources","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2021","Yes","Yes",32,"32"
"Clean Water Services Durham WWTP","16580 SW 85TH AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-2623","Yes","No",32,"32"
"Tektronix, Inc. ","14150 SW KARL BRAUN DR, BEAVERTON, OR 97077","www.portlandcleanair.org/34-2638","Yes","No",32,"32"
"Intel Corporation Aloha and Ronler Campuses","3585 SW 198TH AVE, ALOHA, OR 97007","www.portlandcleanair.org/34-2681","Yes","No",32,"32"
"Allied Systems Company ","21433 SW OREGON ST, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2684","Yes","Yes",32,"32"
"Clean Water Services Rock Creek WWTP","3235 SW RIVER ROAD, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2753","Yes","No",32,"32"
"Oregon Sandblasting & Coating, Inc ","10000 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-2778","Yes","Yes",32,"32"
"Bimbo Bakeries USA ","10750 SW 5TH ST, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2783","Yes","No",32,"32"
"Maxim Integrated Products, Inc. Maxim Fab North","14320 SW JENKINS RD, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2804","Yes","Yes",32,"32"
"Jireh Semiconductor, Inc. ","3131 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2813","Yes","No",32,"32"
"Summit Natural Energy Corporation ","535 N. 4TH AVE, CORNELIUS, OR 97113","www.portlandcleanair.org/34-9510","Yes","No",32,"32"
"Valmont Coatings Pacific States Galvaniz ","9700 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0005","Yes","Yes",33,"33"
"Plasti-Fab, Inc. ","9665 SW TUALATIN-SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0006","Yes","No",33,"33"
"International Paper Company International Paper","5500, 5570, & 5800 SW WESTERN AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-0009","Yes","No",33,"33"
"SolarWorld Industries America LP ","25300 NW EVERGREEN RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0010","Yes","Yes",33,"33"
"AGC Electronics America ","4375 NW 235TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0016","Yes","Yes",33,"33"
"Dynic USA Corporation ","4750 NE DAWSON CREEK DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0017","Yes","Yes",33,"33"
"Finishing First, Inc. ","12970 SW HALL BLVD, TIGARD, OR 97223","www.portlandcleanair.org/34-0056","Yes","Yes",33,"33"
"International Paper Hillsboro Preprint Plant","23950 NW HUFFMAN ST, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0058","Yes","Yes",33,"33"
"Lam Research Corporation ","11155 SW LEVETON DR, TUALATIN, OR 97062","www.portlandcleanair.org/34-0063","Yes","Yes",33,"33"
"Cascade Coil Drapery, Inc. ","19505 SW 90TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0087","Yes","No",33,"33"
"West Oregon Wood Products, Inc. ","162 Commerce St, Banks, OR 97106","www.portlandcleanair.org/34-0089","Yes","No",33,"33"
"Ardent Mills, LLC ","21151 SW 115TH AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0134","Yes","No",33,"33"
"Davis Tool, Inc. ","3740 NW ALOCLEK PL, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0144","Yes","No",33,"33"
"Portland General Electric Company Avery Regional Service Center","10800 SW AVERY ST, TUALATIN, OR 97062","www.portlandcleanair.org/34-0149","Yes","Yes",33,"33"
"QuantumClean QuantumClean","21421 NW JACOBSON RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0152","Yes","Yes",33,"33"
"T5@Portland.LLC ","3145 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0157","Yes","No",33,"33"
"Permapost Products Co. ","4066 SE TUALATIN VALLEY HWY, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2580","Yes","No",33,"33"
"Viasystems Technologies Corp, L.L.C ","1521 POPLAR LN, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2678","Yes","Yes",33,"33"
"Bonita Packaging Products, Inc. Bonita Pioneer Packaging Products","7333 SW BONITA RD, TIGARD, OR 97224","www.portlandcleanair.org/34-2762","Yes","No",33,"33"
"Tokyo Ohka Kogyo America, Inc. TOK America Oregon Plant/HQ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2790","Yes","No",33,"33"
"Agilyx Corporation ","7904 SW Huntziker, Tigard, OR 97223","www.portlandcleanair.org/34-9514","Yes","No",33,"33"
"Wilson sporting Goods Co. DeMarini Sports","6850 NE CAMPUS WAY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0122","Yes","No",34,"34"
"Milgard Doors and Windows ","20789 SW 115TH AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0140","Yes","No",34,"34"
"Linde LLC Linde - Hillsboro ASU Plant","4655 NW 235TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0150","Yes","Yes",34,"34"
"NW Natural ","20285 SW CIPOLE RD, SHERWOOD, OR 97140","www.portlandcleanair.org/34-0154","Yes","Yes",34,"34"
"Genentech, Inc. ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","www.portlandcleanair.org/34-9507","Yes","No",34,"34"
"Resers Fine Foods, Inc. ","15570 SW Jenkins Rd., BEAVERTON, OR 97006","www.portlandcleanair.org/34-9515","Yes","No",34,"34"
"Tarr Acquisition, LLC ","601 BASELINE ST, CORNELIUS, OR 97113","www.portlandcleanair.org/34-0049","Yes","No",17,"Other"
"Bretthauer Oil Company ","453 SW WASHINGTON ST, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0065","Yes","No",17,"Other"
"Bretthauer Oil Company ","6800 SW 110TH AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2651","Yes","No",17,"Other"
