"company_name","address","key","in_deq","in_storage"
"Helser Industries, Inc. ","10750 SW TUALATIN RD, TUALATIN, OR 97062","34-0003",1,NA
"McClister, Inc. Lifetime Gate Co.","18155 SW TETON AVE, TUALATIN, OR 97062","34-0102",1,NA
"Ammcon Corp. ","21450 NW WEST UNION RD, HILLSBORO, OR 97124","34-0113",1,NA
"Jewell Attachments, LLC ","18135 SW BOONES FERRY RD, TUALATIN, OR 97224","34-0130",1,NA
"Westak of Oregon, Inc. Westak of Oregon","3941 24TH AVE, FOREST GROVE, OR 97116","34-0097",1,1
"Pioneer Metal Finishing Superior Metal Finishing","18240 SW 100TH CT, TUALATIN, OR 97062","34-0099",1,1
"Pioneer Metal Finishing, LLC Pioneer Metal Finishing, LLC","19005 SW 125TH CT, TUALATIN, OR 97062","34-0107",1,1
"Copper Knot Metal Finishing LLC ","1184 N FREMONT LN, CORNELIUS, OR 97113","34-0156",1,NA
"Anodizing Solutions, LLC ","12620 SW LEVETON DR, TUALATIN, OR 97062","34-0166",1,NA
"Pacific Truck Colors, Inc. ","19225 SW 125TH CT, TUALATIN, OR 97062","34-0015",1,NA
"Landmark Ford, Inc. ","12000 SW 66TH AVE, TIGARD, OR 97223","34-0101",1,1
"Russ Auto Sales & Service, Inc. ","11880 SW Pacific Hwy, Tigard, OR 97223","34-0105",1,NA
"Evers Auto Body and Painting ","155 SW FREEMAN AVE, HILLSBORO, OR 97123","34-0112",1,NA
"Oregon Collision Center ","1213 GALES CREEK RD, FOREST GROVE, OR 97116","34-0114",1,NA
"Kramer's Auto Body & Car Stereo ","2632 19TH AVE, FOREST GROVE, OR 97116","34-0115",1,NA
"Strategic Printing and Manufacturing Solutions, Inc. ","9673 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","34-0116",1,1
"Aero Air, LLC ","2050 NE 25TH AVE, HILLSBORO, OR 97124","34-0117",1,NA
"Beaverton Auto Body & Paint LLC ","4330 SW 142ND AVE, BEAVERTON, OR 97005","34-0121",1,NA
"Kindred & Son, Inc. ","25599 SW 95TH AVE, WILSONVILLE, OR 97070","34-0123",1,NA
"Ace Car Reconditioning, LLC ","15785 SW 72ND AVE, TIGARD, OR 97224","34-0124",1,1
"Meyer Sign Co. of Oregon ","15205 SW 74TH AVE, TIGARD, OR 97224","34-0125",1,NA
"Reedville Body & Paint Co. ","21600 SW TUALATIN VALLEY HWY, ALOHA, OR 97006","34-0126",1,NA
"Hurford Industries, Inc. Matrix Industries","16650 SW SHAW ST, BEAVERTON, OR 97007","34-0111",1,NA
"Northwest Structural Services, Inc. ","18201 SW BOONES FERRY RD, PORTLAND, OR 97224","34-0120",1,NA
"Stimson Lumber Company ","49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119","34-2066",1,1
"DMH, Inc. ","3802 & 3804 24TH AVE, FOREST GROVE, OR 97116","34-2756",1,NA
"Hillsboro Landfill, Inc. ","3205 SE MINTER BRIDGE ROAD, HILLSBORO, OR 97123","34-0004",1,1
"Fought & Company, Inc. ","14255 SW 72ND AVE, TIGARD, OR 97224","34-0007",1,1
"Oorvo-TriQuint Semiconductor Oorvo-TriQuint Semiconductor","2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","34-0055",1,1
"Willbanks International, Inc dba CoorsTek, Inc.","555 NE 53RD, HILLSBORO, OR 97124","34-0067",1,NA
"Lakeside Lumber Company ","10600 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","34-0081",1,NA
"Baker Rock Crushing Co. dba Baker Rock Resources","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","34-2021",1,1
"Clean Water Services Durham WWTP","16580 SW 85TH AVE, TIGARD, OR 97224","34-2623",1,1
"Tektronix, Inc. ","14150 SW KARL BRAUN DR, BEAVERTON, OR 97077","34-2638",1,NA
"Intel Corporation Aloha and Ronler Campuses","3585 SW 198TH AVE, ALOHA, OR 97007","34-2681",1,1
"Allied Systems Company ","21433 SW OREGON ST, SHERWOOD, OR 97140","34-2684",1,1
"Clean Water Services Rock Creek WWTP","3235 SW RIVER ROAD, HILLSBORO, OR 97123","34-2753",1,1
"Oregon Sandblasting & Coating, Inc ","10000 SW HERMAN RD, TUALATIN, OR 97062","34-2778",1,1
"Bimbo Bakeries USA ","10750 SW 5TH ST, BEAVERTON, OR 97005","34-2783",1,1
"Maxim Integrated Products, Inc. Maxim Fab North","14320 SW JENKINS RD, BEAVERTON, OR 97005","34-2804",1,1
"Jireh Semiconductor, Inc. ","3131 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","34-2813",1,1
"Summit Natural Energy Corporation ","535 N. 4TH AVE, CORNELIUS, OR 97113","34-9510",1,1
"Valmont Coatings Pacific States Galvaniz ","9700 SW HERMAN RD, TUALATIN, OR 97062","34-0005",1,1
"Plasti-Fab, Inc. ","9665 SW TUALATIN-SHERWOOD RD, TUALATIN, OR 97062","34-0006",1,1
"International Paper Company International Paper","5500, 5570, & 5800 SW WESTERN AVE, BEAVERTON, OR 97005","34-0009",1,NA
"SolarWorld Industries America LP ","25300 NW EVERGREEN RD, HILLSBORO, OR 97124","34-0010",1,1
"AGC Electronics America ","4375 NW 235TH AVE, HILLSBORO, OR 97124","34-0016",1,1
"Dynic USA Corporation ","4750 NE DAWSON CREEK DR, HILLSBORO, OR 97124","34-0017",1,1
"Finishing First, Inc. ","12970 SW HALL BLVD, TIGARD, OR 97223","34-0056",1,1
"International Paper Hillsboro Preprint Plant","23950 NW HUFFMAN ST, HILLSBORO, OR 97124","34-0058",1,1
"Lam Research Corporation ","11155 SW LEVETON DR, TUALATIN, OR 97062","34-0063",1,1
"Cascade Coil Drapery, Inc. ","19505 SW 90TH CT, TUALATIN, OR 97062","34-0087",1,NA
"West Oregon Wood Products, Inc. ","162 Commerce St, Banks, OR 97106","34-0089",1,NA
"Ardent Mills, LLC ","21151 SW 115TH AVE, TUALATIN, OR 97062","34-0134",1,1
"Davis Tool, Inc. ","3740 NW ALOCLEK PL, HILLSBORO, OR 97124","34-0144",1,NA
"Portland General Electric Company Avery Regional Service Center","10800 SW AVERY ST, TUALATIN, OR 97062","34-0149",1,1
"QuantumClean QuantumClean","21421 NW JACOBSON RD, HILLSBORO, OR 97124","34-0152",1,1
"T5@Portland.LLC ","3145 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","34-0157",1,NA
"Permapost Products Co. ","4066 SE TUALATIN VALLEY HWY, HILLSBORO, OR 97123","34-2580",1,NA
"Viasystems Technologies Corp, L.L.C ","1521 POPLAR LN, FOREST GROVE, OR 97116","34-2678",1,1
"Bonita Packaging Products, Inc. Bonita Pioneer Packaging Products","7333 SW BONITA RD, TIGARD, OR 97224","34-2762",1,1
"Tokyo Ohka Kogyo America, Inc. TOK America Oregon Plant/HQ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","34-2790",1,1
"Agilyx Corporation ","7904 SW Huntziker, Tigard, OR 97223","34-9514",1,1
"Wilson sporting Goods Co. DeMarini Sports","6850 NE CAMPUS WAY, HILLSBORO, OR 97124","34-0122",1,NA
"Milgard Doors and Windows ","20789 SW 115TH AVE, TUALATIN, OR 97062","34-0140",1,1
"Linde LLC Linde - Hillsboro ASU Plant","4655 NW 235TH AVE, HILLSBORO, OR 97124","34-0150",1,1
"NW Natural ","20285 SW CIPOLE RD, SHERWOOD, OR 97140","34-0154",1,1
"Genentech, Inc. ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","34-9507",1,1
"Resers Fine Foods, Inc. ","15570 SW Jenkins Rd., BEAVERTON, OR 97006","34-9515",1,1
"Tarr Acquisition, LLC ","601 BASELINE ST, CORNELIUS, OR 97113","34-0049",1,NA
"Bretthauer Oil Company ","453 SW WASHINGTON ST, HILLSBORO, OR 97123","34-0065",1,NA
"Bretthauer Oil Company ","6800 SW 110TH AVE, BEAVERTON, OR 97005","34-2651",1,1
"American Metal Specialties, Inc. ","5226 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","03-0001",1,NA
"Oldcastle Precast, Inc. Utility Vault Company, Inc.","28499 SW Boberg Rd, WILSONVILLE, OR 97070","03-0002",1,1
"S.R. Smith, LLC ","1017 SW BERG PKWY, CANBY, OR 97013","03-0003",1,1
"Fred Meyer, Inc. Clackamas Bakery","16253 SE 122ND AVE, CLACKAMAS, OR 97015","03-0004",1,1
"Glacier Northwest, Inc. Clackamas Readymix","11340 SE JENNIFER ST, CLACKAMAS, OR 97015","03-0007",1,1
"Atlas Industrial Coating, Inc. A.I.C. Inc.","17555 SW 63RD AVE, LAKE OSWEGO, OR 97035","03-0009",1,1
"Clackamas County Water Environment Services Kellogg Creek","11525 SE MCLOUGHLIN BLVD, MILWAUKIE, OR 97222","03-0010",1,1
"Clackamas County Tri-City Service District","15941 AGNES AVE, OREGON CITY, OR 97045","03-0011",1,1
"Hardchrome, Inc. ","1152 NW COMMERCE CT, Estacada, OR 97023","03-0013",1,1
"Wolf Steel Foundry, Inc. ","6160 S WHISKEY HILL RD, HUBBARD, OR 97032","03-0016",1,1
"Shaw's Fiberglass and Plastics, Inc. ","19402 SE FOSTER ROAD, DAMASCUS, OR 97089","03-0017",1,1
"PCC Structurals, Inc. Deer Creek Campus","13350 SE JOHNSON RD, MILWAUKIE, OR 97222","03-0020",1,1
"Bowers Forest Products Corporation ","17770 S SCHMIDT RD, BEAVER CREEK, OR 97004","03-0023",1,NA
"Technical Finishes & Coatings Inc. ","9120 SE 64TH AVE, PORTLAND, OR 97206","03-0027",1,1
"Dravon Medical, Inc. ","11465 SE HWY 212, CLACKAMAS, OR 97015","03-0030",1,NA
"Glacier Northwest, Inc Estacada Readymix","29400 SE RIVER MILL ROAD, ESTACADA, OR 97023","03-0034",1,NA
"Excel Finishing, Inc. ","1765 RED SOILS COURT, OREGON CITY, OR 97045","03-0035",1,NA
"J and D Fertilizer Ltd. ","9205 S KRAXBERGER RD, CANBY, OR 97013","03-0037",1,NA
"North Clackamas County Water Commission Sunrise Water Auth.Filt.P","14275 S. CLACKAMAS RIVER DRIVE, OREGON CITY, OR 97045","03-0040",1,1
"McClure Industries, Inc. ","9051 SE 55TH AVE, PORTLAND, OR 97206","03-0041",1,1
"Sunrise Water Facility Mather Road site","10560 SE Mather Rd, Clackamas, OR 97015","03-0043",1,NA
"Thermo Fluids, Inc. Clackamas Site","12533 SE CARPENTER DR, CLACKAMAS, OR 97015","03-0045",1,NA
"Kaiser Permanente Kaiser Sunnyside Med.Ctr.","10180 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","03-0048",1,NA
"Xerox Corporation ","27063 SW Canyon Creek Rd, WILSONVILLE, OR 97070","03-0050",1,NA
"Kaiser Permanente Sunnyside Medical Center","10180 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","03-0051",1,NA
"Pesznecker Brothers, Inc. ","15500 SE 102ND AVE, CLACKAMAS, OR 97015","03-0052",1,NA
"Automotive Innovation Inc MAACO Collision Repair","15679 SE 135th Ave, Clackamas, OR 97015","03-0053",1,NA
"Leader Technologies, Inc. LeadTek","27555 SW BOONES FERRY RD, WILSONVILLE, OR 97071","03-0054",1,NA
"AGC Heat Transfer, Inc. Western Factory","9109 SE 64TH AVE, PORTLAND, OR 97206","03-0057",1,1
"Oregon Pacific Metal Fabrication, LLC ","14351 S UNION HALL RD, MULINO, OR 97042","03-0060",1,NA
"Sunstone Circuits, LLC Sunstone Circuits, LLC","13626 S FREEMAN RD, MULINO, OR 97042","03-0061",1,1
"Champion Collision Inc. ","16639 CHAMPION WAY, SANDY, OR 97055","03-0062",1,NA
"Wishart Welding & General Fabrication, Inc. ","12670 SE CAPPS RD, CLACKAMAS, OR 97015","03-0064",1,NA
"Conveyco Mfg, Co. ","15151 SE INDUSTRIAL WAY, CLACKAMAS, OR 97015","03-0065",1,NA
"Wright Manufacturing, LLC ","7474 SE JOHNSON CREEK BLVD, PORTLAND, OR 97206","03-0066",1,NA
"J. V. Northwest, Inc. JVNW, Inc.","390 S REDWOOD ST, CANBY, OR 97013","03-0069",1,NA
"G.T.E. Metal Fabricators, Inc. ","24530 S. CASS ROAD, CANBY, OR 97013","03-0070",1,NA
"Dan Enterprises, Inc. MCI Welding","15942 S. PARK PLACE CT, OREGON CITY, OR 97045","03-0072",1,NA
"Quality Tank & Construction Co., Inc. ","16911 SE 362ND DR, SANDY, OR 97055","03-0073",1,NA
"Austen's Body Shop, Inc. ","801 NE 4TH AVE, CANBY, OR 97013","03-0077",1,NA
"Swan Cleaners and Tailors ","19121 BEAVERCREEK RD, OREGON CITY, OR 97045","03-0080",1,NA
"Columbia Body Manufacturing ","10037 SE MATHER, CLACKAMAS, OR 97015","03-0081",1,1
"Oregon Trail School District Sandy High School","37400 BELL ST, SANDY, OR 97055","03-0082",1,NA
"Ulven Forging Inc. Skookum","6160 S WHISKEY HILL RD, HUBBARD, OR 97032","03-0083",1,1
"Canby Cleaners LLC ","329 SE 1ST AVE, CANBY, OR 97013","03-0085",1,NA
"Clackamas County Service District No 1 ","13425 SE JOHNSON RD, MILWAUKIE, OR 97222","03-0087",1,NA
"Wilbur Ellis Company ","12530 SE JENNIFER ST, CLACKAMAS, OR 97015","03-0088",1,1
"Steel Tech Enterprises Inc. ","1420 S TOWNSHIP RD, CANBY, OR 97013","03-0089",1,NA
"US Crane & Hoist, Inc. ","29375 SW KINSMAN RD, WILSONVILLE, OR 97070","03-0091",1,NA
"Clackamas River Water ","9100 SE MANGAN DR, CLACKAMAS, OR 97015","03-0092",1,1
"Dave's Killer Bread ","5209 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","03-0093",1,NA
"PECO, Inc, PECO Inc,, an Astronics Company","11241 SE HWY 212, CLACKAMAS, OR 97015","03-0098",1,1
"Portland General Electric Company Carver Readiness Center","16782 SE 130TH AVE, CLACKAMAS, OR 97015","03-0099",1,NA
"CarMax Auto Superstores West Coast, Inc. CarMax 7285","13750 SE JOHNSON RD, MILWAUKIE, OR 97222","03-0100",1,NA
"Vigor Works LLC dba Oregon Iron Works","9700 SE LAWNFIELD RD, CLACKAMAS, OR 97015","03-0110",1,1
"Estacada Lumber Company RSG Forest Products","760 NW HWY 224, ESTACADA, OR 97023","03-1778",1,1
"Sanders Wood Products, Inc. RSG Forest Products, Inc.","28890 HWY 213, LIBERAL, OR 97038","03-1791",1,1
"Lake-Shore Concrete Co. ","100 SW FOOTHILLS RD, LAKE OSWEGO, OR 97034","Mar-24",1,1
"Estacada Rock Products, Inc. River Mill Road site","29400 RIVER MILL RD, ESTACADA, OR 97023","Mar-34",1,NA
"Canby Sand & Gravel Co. ","24420 S HWY 99E, CANBY, OR 97013","Mar-32",1,1
"West Linn Paper Company ","4800 MILL ST, WEST LINN, OR 97068","Mar-45",1,1
"J & A Fuel LLC Wilsonville Concrete Products","30625 SW Industrial Way, WILSONVILLE, OR 97070","Mar-75",1,NA
"Orchid Orthopedic Solutions Oregon, Inc ","13963 S FIR ST, OREGON CITY, OR 97045","Mar-05",1,1
"Interfor US Inc. Interfor US Inc - Molalla Division","15555 HWY 211 S, MOLALLA, OR 97038","Mar-33",1,1
"Providence Willamette Falls Medical Center ","1500 DIVISION ST, OREGON CITY, OR 97045","Mar-68",1,NA
"Glacier Northwest, Inc. Sandy Plant","20200 SE FIRWOOD RD, SANDY, OR 97055","Mar-70",1,1
"Oregon Cutting Systems Blount International Inc.","4909 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","Mar-24",1,1
"Eagle Foundry Co. ","23123 SE EAGLE CREEK RD, EAGLE CREEK, OR 97022","Mar-31",1,1
"Johnson Controls Battery Group, Inc. ","800 NW 3RD AVE, CANBY, OR 97013","Mar-34",1,1
"WCP, Inc ","31200 SW Industrial Way, WILSONVILLE, OR 97070","Mar-57",1,1
"Willamette Egg Farms, LLC ","29300 S MOLALLA AVE, MOLALLA, OR 97038","Mar-61",1,NA
"Eagle Creek Gravel, Inc. ","25375 SE TALON RD, EAGLE CREEK, OR 97022","Mar-68",1,NA
"PCC Structurals, Inc. ","13340 SE 84TH, CLACKAMAS, OR 97015","Mar-74",1,1
"Georgia Pacific Gypsum, LLC Georgia Pacific Gypsum Firedoor","505 NE 3RD ST, CANBY, OR 97013","Mar-19",1,1
"Carson Oil Co., Inc. ","9911 SE ELON ST, CLACKAMAS, OR 97015","Mar-24",1,NA
"Northwest Pipeline LLC Oregon City Compressor Station","15124 S SPRINGWATER RD, OREGON CITY, OR 97045","Mar-29",1,NA
"Consolidated Metco, Inc ","10448 HWY 212, CLACKAMAS, OR 97015","Mar-38",1,1
"Safeway, Inc. ","9450 SE MANGAN DR, CLACKAMAS, OR 97015","Mar-54",1,NA
"Stutzman Environmental Products, Inc. ","410 INDUSTRIAL, MOLALLA, OR 97038","Mar-63",1,NA
"Molalla Redi-Mix & Rock Products, Inc. ","32900 MOLALLA FOREST, MOLALLA, OR 97038","Mar-73",1,1
"Miles Fiberglass & Plastics, Inc. ","1516 MAIN ST, OREGON CITY, OR 97045","Mar-77",1,1
"Miles Fiberglass & Plastics, Inc. Miles Fiberglass & Composites","8855 SE OTTY RD, Happy Valley, OR 97086","Mar-78",1,1
"NW Natural Molalla Gate Station","10405 SOUTH BARNARDS ROAD, MOLALLA, OR 97038","Mar-07",1,NA
"Privates with Dignity, Inc. Clackamas Facility","15484 SE 94TH AVE, CLACKAMAS, OR 97015","Mar-08",1,NA
"Bob's Red Mill Natural Foods, Inc. ","13521 SE PHEASANT CT, PORTLAND, OR 97222","Mar-09",1,NA
"Universal Recycling Technologies, LLC ","10151 SE JENNIFER ST, CLACKAMAS, OR 97015","Mar-11",1,NA
"Ernie Graham Oil, Inc. ","601 SW 1ST AVE, CANBY, OR 97013","Mar-13",1,NA
"Hobart Oil Company LLC Dixon Ave","112 DIXON AVE, MOLALLA, OR 97038","Mar-14",1,NA
"AB Mauri Food, Inc. AB Mauri Fleischmann's","26994 SE 95TH AVENUE, WILSONVILLE, OR 97070","Mar-17",1,1
"Valet Cleaners ","15020 SE MCLOUGHLIN BLVD, MILWAUKIE, OR 97267","Mar-22",1,NA
"Mt. Hood Cleaners ","38862 PROCTOR BLVD, SANDY, OR 97055","Mar-25",1,NA
"Diana's Cleaner ","16066 BOONES FERRY RD, LAKE OSWEGO (OSWEGO), OR 97035","Mar-30",1,NA
"Cash's Drapery Inc. ","2366 SE OCHOCO ST, MILWAUKIE, OR 97222","Mar-31",1,NA
"Abe's Royal Cleaners ","1839 MOLALLA AVE STE D, OREGON CITY, OR 97045","Mar-32",1,NA
"Canby Station Cleaners Canby Station Cleaners","106 N IVY ST, CANBY, OR 97206","Mar-33",1,NA
"Bright Cleaners ","480 PORTLAND AVE STE A, GLADSTONE, OR 97027","Mar-64",1,NA
"Promise Cleaners ","12300 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","Mar-68",1,NA
"Tomorrow Cleaners ","14626 SE MCLOUGHLIN BLVD, MILWAUKIE , OR 97267","Mar-69",1,NA
"Chris & Jessie's Cleaners ","417 1ST ST, LAKE OSWEGO (OSWEGO), OR 97034","Mar-70",1,1
"Carousel Laundry and Cleaners, Inc. ","927 MOLALLA AVE, OREGON CITY, OR 97045","Mar-73",1,NA
"Champion Enterprises, LLC Style Cleaners","29911 SW BOONES FERRY RD, WILSONVILLE, OR 97070","Mar-75",1,NA
"Clackamas Community College ","19600 MOLALLA AVE, OREGON CITY, OR 97045","Mar-77",1,NA
"Harmony Cleaners ","6335 SE HARMONY RD, MILWAUKIE, OR 97222","Mar-81",1,NA
"Thomas Joseph Inc. dba Thomas Joseph Personalized Dry Cleaning","16060 SE 82ND DR, CLACKAMAS, OR 97015","Mar-82",1,NA
"Oak Lodge Sanitary District ","13750 SE RENTON AVE, MILWAUKIE, OR 97222","Mar-87",1,1
"Legacy Meridian Park Hospital ","19300 SW 65TH AVE, TUALATIN, OR 97062","34-0002",1,1
"CHICK A DEE GARDEN NURSERY INC","24485 BOONES FERRY RD, AURORA, OR 97002","onsite_storage_023564",NA,1
"WARN INDUSTRIES","12900 SE CAPPS RD, CLACKAMAS, OR 97015","onsite_storage_021464",NA,1
"P & A METAL FAB INC","13009 SE JENNIFER ST STE 101, CLACKAMAS, OR 97015","onsite_storage_021379",NA,1
"BPA-MCNARY SUBSTATION","SUBSTN ELECTRIC RELY, SUBSTATION, OR 97000","onsite_storage_023444",NA,1
"AUTO-CHLOR SYSTEM OF OREGON","26300 SW 95TH AVE STE 100, WILSONVILLE, OR 97070","onsite_storage_095073",NA,1
"WILSONVILLE CITY OF","10350 SW ARROWHEAD CRK LN, WILSONVILLE, OR 97070","onsite_storage_095125",NA,1
"MARKS METAL TECHNOLOGY","10300 SE JENNIFER ST, CLACKAMAS, OR 97015","onsite_storage_023807",NA,1
"METRO REGIONAL GOVERNMENT","2001 WASHINGTON ST, OREGON CITY, OR 97045","onsite_storage_023592",NA,1
"WEST LINN CITY OF","4100 NORFOLK ST, WEST LINN, OR 97068","onsite_storage_016569",NA,1
"ESTACADA CITY OF","800 NW EVERGREEN RD, ESTACADA, OR 97023","onsite_storage_021663",NA,1
"MACKAYMITCHELL ENVELOPE CO","2515 SE MAILWELL DR, MILWAUKIE, OR 97222","onsite_storage_087583",NA,1
"EVER FRESH FRUIT COMPANY","35855 SE KELSO RD, BORING, OR 97009","onsite_storage_022334",NA,1
"WILLAMETTE NATL CEMETERY","11800 SE MT SCOTT BLVD, PORTLAND, OR 97086","onsite_storage_017052",NA,1
"MILWAUKIEE ELECTRONICS","1140 NW 3RD AVE, CANBY, OR 97013","onsite_storage_087491",NA,1
"BPA","10000 SW RIDDER RD, WILSONVILLE, OR 97070","onsite_storage_023130",NA,1
"MURPHYS CLASSIC LAWN CARE","17260 S BECKMAN RD, OREGON CITY, OR 97045","onsite_storage_087967",NA,1
"PCC STRUCTURALS INC","6465 SE CROSSWHITE, MILWAUKIE, OR 97206","onsite_storage_022288",NA,1
"OREGON GOLF CLUB THE","25700 SW PETES MOUNTAIN RD, WEST LINN, OR 97068","onsite_storage_023261",NA,1
"FOX EROSION CONTROL&LANDSCAPE","11901 HWY 212, CLACKAMAS, OR 97015","onsite_storage_087819",NA,1
"FAIRDALE NURSERY","13200 SW WILSONVILLE RD, WILSONVILLE, OR 97070","onsite_storage_022655",NA,1
"VIOC","895 MOLALLA AVE, OREGON CITY, OR 97045","onsite_storage_092684",NA,1
"YOSHITOMI BROTHERS INC","31919 SW PEACH COVE RD, WEST LINN, OR 97068","onsite_storage_022504",NA,1
"CLACKAMAS COUNTY DTD","902 ABERNETHY RD, OREGON CITY, OR 97045","onsite_storage_018073",NA,1
"RESORT AT THE MOUNTAIN THE","26688 E WELCHES RD, WELCHES, OR 97067","onsite_storage_018139",NA,1
"SANDY CITY OF","52500 HWY 26, SANDY, OR 97055","onsite_storage_019128",NA,1
"PORTLAND WATER BUREAU","50105 SE ROCK CUT RD, CORBETT, OR 97019","onsite_storage_019528",NA,1
"SANDY CITY OF","33400 SE JARL RD, BORING, OR 97009","onsite_storage_019129",NA,1
"KAISER PERMANENTE","10200 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","onsite_storage_019081",NA,1
"ODOT","2440 SE STUBB ST, MILWAUKIE, OR 97222","onsite_storage_019077",NA,1
"CASCADE POOLS","6775 SW MCEWAN, LAKE OSWEGO, OR 97035","onsite_storage_020090",NA,1
"CLACKAMAS COUNTY DTD","19009 BARTON PARK RD, BORING, OR 97009","onsite_storage_018038",NA,1
"OREGON ARMY NATIONAL GUARD","15300 SE MINUTEMAN WAY, CLACKAMAS, OR 97015","onsite_storage_017640",NA,1
"FRESENIUS MEDICAL CARE","13560 SE 97TH AVE, CLACKAMAS, OR 97015","onsite_storage_092572",NA,1
"PGE","33831 SE HWY 224, ESTACADA, OR 97023","onsite_storage_017374",NA,1
"LAKE OSWEGO CITY OF","4260 SW KENTHORPE WAY, WEST LINN, OR 97068","onsite_storage_017907",NA,1
"PCC STRUCTURALS INC","6667 SE JOHNSON CREEK BLVD, MILWAUKIE, OR 97206","onsite_storage_020707",NA,1
"CLACKAMAS COMMUNITY COLLEGE","19600 MOLALLA AVE, OREGON CITY, OR 97405","onsite_storage_021372",NA,1
"MOLALLA CITY OF","12424 W TOLIVER RD, MOLALLA, OR 97038","onsite_storage_017974",NA,1
"DOW AGROSCIENCES","32905 S MORCOM RD, WOODBURN, OR 97071","onsite_storage_091633",NA,1
"VEOLIA WATER NA","591 N CEDAR ST, CANBY, OR 97013","onsite_storage_017904",NA,1
"LAKE OSWEGO SCHOOL DISTRICT 7J","2400 SW HAZEL RD, LAKE OSWEGO, OR 97034","onsite_storage_020753",NA,1
"PGE","209 WARNER MILNE RD, OREGON CITY, OR 97045","onsite_storage_017736",NA,1
"COHERENT INC","27650 SW 95TH AVE, WILSONVILLE, OR 97070","onsite_storage_055809",NA,1
"REXIUS FOREST BY-PRODUCTS INC","17550 SW 63RD, LAKE OSWEGO, OR 97035","onsite_storage_057645",NA,1
"OSWEGO ROOFING","17350 BOONES FERRY RD, LAKE OSWEGO, OR 97035","onsite_storage_056583",NA,1
"BRYSTAL LAWN & TREE INC","8747 S HEINZ RD, CANBY, OR 97013","onsite_storage_050685",NA,1
"BECKS BOTANICAL INC","4400 SW ADVANCE RD, WILSONVILLE, OR 97070","onsite_storage_050267",NA,1
"CANBY TRANSFER & RECYCLING","1600 SE 4TH AVE, CANBY, OR 97013","onsite_storage_073697",NA,1
"OREGON CITY CITY OF","220 S JOHN ADAMS ST, OREGON CITY, OR 97045","onsite_storage_073704",NA,1
"OREGON CITY CITY OF","206 S JOHN ADAMS ST, OREGON CITY, OR 97045","onsite_storage_073705",NA,1
"OREGON CITY CITY OF","1211 JACKSON ST, OREGON CITY, OR 97045","onsite_storage_073710",NA,1
"DOWERS WATERPROOFING INC","16631 SE 232ND DR, DAMASCUS, OR 97089","onsite_storage_052237",NA,1
"F A BARTLETT TREE EXPERT COMPANY THE","11814 SE JENNIFER ST, CLACKAMAS, OR 97015","onsite_storage_051397",NA,1
"CASCADE SKI CLUB INC","30510 E BLOSSOM TRL, GOVERNMENT CAMP, OR 97028","onsite_storage_051025",NA,1
"CLARKE MANUFACTURING CO INC","13388 S MOLALLA FOREST RD, MOLALLA, OR 97038","onsite_storage_068983",NA,1
"SAME DAY AUTO SERVICE","16009 SE 106TH ST, CLACKAMAS, OR 97015","onsite_storage_069762",NA,1
"PRECISION METAL FINISHING","9201 S KRAXBERGER RD, CANBY, OR 97013","onsite_storage_064900",NA,1
"BRENTWOOD CORP","453 INDUSTRIAL WAY, MOLALLA, OR 97038","onsite_storage_069195",NA,1
"WEST LINN CITY OF","5095 MAPELTON DR, WEST LINN, OR 97068","onsite_storage_067963",NA,1
"CLACKAMAS COUNTY SHERIFFS DEPT","12700 SE 82ND, CLACKAMAS, OR 97015","onsite_storage_067717",NA,1
"ANDERSON POOLWORKS","9500 SW BOECKMAN RD, WILSONVILLE, OR 97070","onsite_storage_067304",NA,1
"LEADER TECHNOLOGIES INC","27555 SW BOONES FERRY RD, WILSONVILLE, OR 97070","onsite_storage_067820",NA,1
"WILSONVILLE CITY OF","9275 TAUCHMAN ST, WILSONVILLE, OR 97070","onsite_storage_068401",NA,1
"SHIMADZU USA MANUFACTURING INC","1900 SE 4TH AVE, CANBY, OR 97013","onsite_storage_064252",NA,1
"WOLF INDUSTRIES INC","6541 SE JOHNSON CREEK BLVD, PORTLAND, OR 97206","onsite_storage_060288",NA,1
"TRI COUNTY CONSTRUCTION CO","1363 SW BORLAND RD, WEST LINN, OR 97068","onsite_storage_059459",NA,1
"SOUTH FORK WATER BOARD","15962 S HUNTER AVE, OREGON CITY, OR 97045","onsite_storage_058558",NA,1
"GREEN AIR PRODUCTS","29299 SE WHEELER RD, BORING, OR 97009","onsite_storage_032423",NA,1
