"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","Has Uncontrolled Emissions","DEQ General Permit Type","DEQ General Permit Type Description","Three County Emissions Rank","Three County Heavy Metal Emissions Rank"
"East Side Plating, Inc. Plant #1, 2 and 3","8400 SE 26th Pl, Portland, OR 97202, USA","www.portlandcleanair.org/files/detailed_co_info/26-3036","Yes","Yes","Yes",2,"Other",95,18
"Collision Rebuilders, Inc. ","2077 NW Marshall St, Portland, OR 97209, USA","www.portlandcleanair.org/files/detailed_co_info/26-0192","Yes","No","No",40,"Other",NA,NA
"Mr. Formal, Inc. ","Mr Formal in Portland, OR, USA, 1205 SE Grand Ave, Portland, OR 97214, USA","www.portlandcleanair.org/files/detailed_co_info/26-0204","Yes","No","No",40,"Other",NA,NA
"Rogers Northwest, Inc. ","21455 SW 120th Ave, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-2636","Yes","Yes","No",7," Asphalt Plants",NA,NA
"Baker Rock Resources ","21880 SW Farmington Rd, Beaverton, OR 97007, USA","www.portlandcleanair.org/files/detailed_co_info/34-2637","Yes","Yes","No",7," Asphalt Plants",NA,NA
"Van Doren Red-E-Mix, Inc. ","1910 26th Ave, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-2034","Yes","No","No",9," Ready-Mix/Concrete Plants",NA,NA
"Pacific Rock Products, LLC Tualatin Plant","18610 SW Pacific Dr, Sherwood, OR 97140, USA","www.portlandcleanair.org/files/detailed_co_info/34-2583","Yes","No","No",9," Ready-Mix/Concrete Plants",NA,NA
"Wilsonville Concrete Products Beaverton Site","6700 SW 110th Ave, Beaverton, OR 97008, USA","www.portlandcleanair.org/files/detailed_co_info/34-2640","Yes","Yes","No",9," Ready-Mix/Concrete Plants",NA,NA
"Baker Rock Resources ","21880 SW Farmington Rd, Beaverton, OR 97007, USA","www.portlandcleanair.org/files/detailed_co_info/34-2737","Yes","Yes","No",9," Ready-Mix/Concrete Plants",NA,NA
"Glacier Northwest, Inc. Hillsboro Readymix","21480 NW Amberwood Dr, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-2769","Yes","Yes","No",9," Ready-Mix/Concrete Plants",NA,NA
"Helser Industries, Inc. ","10750 SW Tualatin Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0003","Yes","No","No",25," Metal Fabrication and Finishing: Large",NA,NA
"McClister, Inc. Lifetime Gate Co.","18155 SW Teton Ave, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0102","Yes","No","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Ammcon Corp. ","21450 NW West Union Rd, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0113","Yes","Yes","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Jewell Attachments, LLC ","18135 SW Boones Ferry Rd, Portland, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-0130","Yes","Yes","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Westak of Oregon, Inc. Westak of Oregon","3941 24th Ave, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-0097","Yes","Yes","No",26," Plating and Polishing",NA,NA
"Pioneer Metal Finishing Superior Metal Finishing","18240 SW 100th Ct, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0099","Yes","Yes","No",26," Plating and Polishing",NA,NA
"Pioneer Metal Finishing, LLC Pioneer Metal Finishing, LLC","19005 SW 125th Ct, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0107","Yes","Yes","Yes",26," Plating and Polishing",115,85
"Copper Knot Metal Finishing LLC ","1184 N Fremont Ln, Cornelius, OR 97113, USA","www.portlandcleanair.org/files/detailed_co_info/34-0156","Yes","No","No",26," Plating and Polishing",NA,NA
"Anodizing Solutions, LLC ","12620 SW Leveton Dr, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0166","Yes","No","No",26," Plating and Polishing",NA,NA
"Pacific Truck Colors, Inc. ","19225 SW 125th Ct, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0015","Yes","No","No",27," Surface Coating",NA,NA
"Landmark Ford, Inc. ","12000 SW 66th Ave, Tigard, OR 97223, USA","www.portlandcleanair.org/files/detailed_co_info/34-0101","Yes","No","No",27," Surface Coating",NA,NA
"Russ Auto Sales & Service, Inc. ","11880 SW Pacific Hwy, Tigard, OR 97223, USA","www.portlandcleanair.org/files/detailed_co_info/34-0105","Yes","No","No",27," Surface Coating",NA,NA
"Evers Auto Body and Painting ","155 SW Freeman Ave, Hillsboro, OR 97123, USA","www.portlandcleanair.org/files/detailed_co_info/34-0112","Yes","No","No",27," Surface Coating",NA,NA
"Oregon Collision Center ","1213 Gales Creek Rd, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-0114","Yes","No","No",27," Surface Coating",NA,NA
"Kramer's Auto Body & Car Stereo ","2632 19th Ave, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-0115","Yes","No","No",27," Surface Coating",NA,NA
"Strategic Printing and Manufacturing Solutions, Inc. ","9673 SW Tualatin-Sherwood Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0116","Yes","No","No",27," Surface Coating",NA,NA
"Aero Air, LLC ","2050 NE 25th Ave, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0117","Yes","No","No",27," Surface Coating",NA,NA
"Beaverton Auto Body & Paint LLC ","4330 SW 142nd Ave, Beaverton, OR 97005, USA","www.portlandcleanair.org/files/detailed_co_info/34-0121","Yes","No","No",27," Surface Coating",NA,NA
"Kindred & Son, Inc. ","25599 SW 95th Ave, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/34-0123","Yes","No","No",27," Surface Coating",NA,NA
"Ace Car Reconditioning, LLC ","15785 SW 72nd Ave, Tigard, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-0124","Yes","No","No",27," Surface Coating",NA,NA
"Meyer Sign Co. of Oregon ","15205 SW 74th Ave, Tigard, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-0125","Yes","No","No",27," Surface Coating",NA,NA
"Reedville Body & Paint Co. ","21600 SW Tualatin Valley Hwy, Beaverton, OR 97006, USA","www.portlandcleanair.org/files/detailed_co_info/34-0126","Yes","No","No",27," Surface Coating",NA,NA
"Hurford Industries, Inc. Matrix Industries","16650 SW Shaw St, Beaverton, OR 97007, USA","www.portlandcleanair.org/files/detailed_co_info/34-0111","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Northwest Structural Services, Inc. ","18201 SW Boones Ferry Rd, Portland, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-0120","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Stimson Lumber Company ","49800 SW Scoggins Valley Rd, Gaston, OR 97119, USA","www.portlandcleanair.org/files/detailed_co_info/34-2066","Yes","Yes","Yes",31," DEQ Title V Permit",5,NA
"DMH, Inc. ","3804 24th Ave #3802, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-2756","Yes","No","No",31," DEQ Title V Permit",NA,NA
"Hillsboro Landfill, Inc. ","3205 SE Minter Bridge Rd, Hillsboro, OR 97123, USA","www.portlandcleanair.org/files/detailed_co_info/34-0004","Yes","Yes","Yes",32," DEQ Standard Permit",46,83
"Fought & Company, Inc. ","14255 SW 72nd Ave, Tigard, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-0007","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Oorvo-TriQuint Semiconductor Oorvo-TriQuint Semiconductor","2300 NE Brookwood Pkwy, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0055","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Willbanks International, Inc dba CoorsTek, Inc.","555 NE 53rd Ave, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0067","Yes","Yes","Yes",32," DEQ Standard Permit",60,81
"Lakeside Lumber Company ","10600 SW Tualatin-Sherwood Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0081","Yes","No","No",32," DEQ Standard Permit",NA,NA
"Baker Rock Crushing Co. dba Baker Rock Resources","21880 SW Farmington Rd, Beaverton, OR 97007, USA","www.portlandcleanair.org/files/detailed_co_info/34-2021","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Clean Water Services Durham WWTP","16580 SW 85th Ave, Tigard, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-2623","Yes","Yes","Yes",32," DEQ Standard Permit",54,53
"Tektronix, Inc. ","Building 50, 14150 SW Karl Braun Dr, Beaverton, OR 97005, USA","www.portlandcleanair.org/files/detailed_co_info/34-2638","Yes","No","Yes",32," DEQ Standard Permit",74,61
"Intel Corporation Aloha and Ronler Campuses","3585 SW 198th Ave, Aloha, OR 97007, USA","www.portlandcleanair.org/files/detailed_co_info/34-2681","Yes","Yes","Yes",32," DEQ Standard Permit",21,16
"Allied Systems Company ","21433 SW Oregon St, Sherwood, OR 97140, USA","www.portlandcleanair.org/files/detailed_co_info/34-2684","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Clean Water Services Rock Creek WWTP","3235 SW River Rd, Hillsboro, OR 97123, USA","www.portlandcleanair.org/files/detailed_co_info/34-2753","Yes","No","Yes",32," DEQ Standard Permit",45,64
"Oregon Sandblasting & Coating, Inc ","10000 SW Herman Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-2778","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Bimbo Bakeries USA ","10750 SW 5th St, Beaverton, OR 97005, USA","www.portlandcleanair.org/files/detailed_co_info/34-2783","Yes","Yes","Yes",32," DEQ Standard Permit",58,52
"Maxim Integrated Products, Inc. Maxim Fab North","14320 SW Jenkins Rd, Beaverton, OR 97005, USA","www.portlandcleanair.org/files/detailed_co_info/34-2804","Yes","Yes","Yes",32," DEQ Standard Permit",48,54
"Jireh Semiconductor, Inc. ","3131 NE Brookwood Pkwy, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-2813","Yes","Yes","Yes",32," DEQ Standard Permit",70,55
"Summit Natural Energy Corporation ","535 N 4th Ave, Cornelius, OR 97113, USA","www.portlandcleanair.org/files/detailed_co_info/34-9510","Yes","Yes","Yes",32," DEQ Standard Permit",24,74
"Valmont Coatings Pacific States Galvaniz ","9700 SW Herman Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0005","Yes","Yes","Yes",33," DEQ Simple Permit",84,68
"Plasti-Fab, Inc. ","9665 SW Tualatin-Sherwood Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0006","Yes","Yes","No",33," DEQ Simple Permit",NA,NA
"International Paper Company International Paper","5800 SW Western Ave #5570, Beaverton, OR 97005, USA","www.portlandcleanair.org/files/detailed_co_info/34-0009","Yes","Yes","Yes",33," DEQ Simple Permit",44,65
"SolarWorld Industries America LP ","25300 NW Evergreen Rd, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0010","Yes","Yes","Yes",33," DEQ Simple Permit",72,87
"AGC Electronics America ","4375 NE 59th Ave, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0016","Yes","Yes","Yes",33," DEQ Simple Permit",42,NA
"Dynic USA Corporation ","4750 NE Dawson Creek Dr, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0017","Yes","Yes","Yes",33," DEQ Simple Permit",112,102
"Finishing First, Inc. ","12970 SW Hall Blvd, Tigard, OR 97223, USA","www.portlandcleanair.org/files/detailed_co_info/34-0056","Yes","No","Yes",33," DEQ Simple Permit",110,97
"International Paper Hillsboro Preprint Plant","23950 NE Huffman St, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0058","Yes","Yes","Yes",33," DEQ Simple Permit",37,84
"Lam Research Corporation ","11155 SW Leveton Dr, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0063","Yes","Yes","Yes",33," DEQ Simple Permit",83,69
"Cascade Coil Drapery, Inc. ","19505 SW 90th Ct, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0087","Yes","No","No",33," DEQ Simple Permit",NA,NA
"West Oregon Wood Products, Inc. ","162 NE Commerce St, Banks, OR 97106, USA","www.portlandcleanair.org/files/detailed_co_info/34-0089","Yes","No","No",33," DEQ Simple Permit",NA,NA
"Ardent Mills, LLC ","21151 SW 115th Ave, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0134","Yes","No","No",33," DEQ Simple Permit",NA,NA
"Davis Tool, Inc. ","3740 Aloclek Pl, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0144","Yes","No","No",33," DEQ Simple Permit",NA,NA
"Portland General Electric Company Avery Regional Service Center","10800 SW Avery St, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0149","Yes","Yes","Yes",33," DEQ Simple Permit",96,80
"QuantumClean QuantumClean","21421 NE Jacobson St, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0152","Yes","Yes","Yes",33," DEQ Simple Permit",13,NA
"T5@Portland.LLC ","3145 NE Brookwood Pkwy, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0157","Yes","No","Yes",33," DEQ Simple Permit",33,43
"Permapost Products Co. ","4066 SE Tualatin Valley Hwy, Hillsboro, OR 97123, USA","www.portlandcleanair.org/files/detailed_co_info/34-2580","Yes","Yes","No",33," DEQ Simple Permit",NA,NA
"Viasystems Technologies Corp, L.L.C ","1521 Poplar Ln, Forest Grove, OR 97116, USA","www.portlandcleanair.org/files/detailed_co_info/34-2678","Yes","Yes","Yes",33," DEQ Simple Permit",8,42
"Bonita Packaging Products, Inc. Bonita Pioneer Packaging Products","7333 SW Bonita Rd, Tigard, OR 97224, USA","www.portlandcleanair.org/files/detailed_co_info/34-2762","Yes","Yes","Yes",33," DEQ Simple Permit",15,NA
"Tokyo Ohka Kogyo America, Inc. TOK America Oregon Plant/HQ","4625 NW Brookwood Pkwy, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-2790","Yes","Yes","Yes",33," DEQ Simple Permit",88,75
"Agilyx Corporation ","7904 SW Hunziker St, Tigard, OR 97223, USA","www.portlandcleanair.org/files/detailed_co_info/34-9514","Yes","Yes","Yes",33," DEQ Simple Permit",65,44
"Wilson sporting Goods Co. DeMarini Sports","6850 NE Campus Way, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0122","Yes","No","No",34," DEQ Basic Permit",NA,NA
"Milgard Doors and Windows ","20789 SW 115th Ave, Tualatin, OR 97062, USA","www.portlandcleanair.org/files/detailed_co_info/34-0140","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"Linde LLC Linde - Hillsboro ASU Plant","4655 NE 59th Ave, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-0150","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"NW Natural ","20285 SW Cipole Rd, Sherwood, OR 97140, USA","www.portlandcleanair.org/files/detailed_co_info/34-0154","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"Genentech, Inc. ","4625 NW Brookwood Pkwy, Hillsboro, OR 97124, USA","www.portlandcleanair.org/files/detailed_co_info/34-9507","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"Resers Fine Foods, Inc. ","15570 SW Jenkins Rd, Beaverton, OR 97006, USA","www.portlandcleanair.org/files/detailed_co_info/34-9515","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"American Metal Specialties, Inc. ","5226 SE International Way, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-0001","Yes","No","No",34," DEQ Basic Permit",NA,NA
"Oldcastle Precast, Inc. Utility Vault Company, Inc.","28499 SW Boberg Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-0002","Yes","Yes","No",9,"Other",NA,NA
"S.R. Smith, LLC ","1017 SW Berg Pkwy, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0003","Yes","Yes","Yes",31," DEQ Title V Permit",14,62
"Fred Meyer, Inc. Clackamas Bakery","16253 SE 122nd Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0004","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Glacier Northwest, Inc. Clackamas Readymix","11340 SE Jennifer St, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0007","Yes","Yes","No",9,"Other",NA,NA
"Atlas Industrial Coating, Inc. A.I.C. Inc.","17555 63rd Ave, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/files/detailed_co_info/03-0009","Yes","Yes","No",33," DEQ Simple Permit",NA,NA
"Clackamas County Water Environment Services Kellogg Creek","11525 SE McLoughlin Blvd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-0010","Yes","Yes","Yes",33," DEQ Simple Permit",23,17
"Clackamas County Tri-City Service District","15941 S Agnes Ave, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-0011","Yes","Yes","Yes",33," DEQ Simple Permit",17,13
"Wolf Steel Foundry, Inc. ","6160 S Whiskey Hill Rd, Hubbard, OR 97032, USA","www.portlandcleanair.org/files/detailed_co_info/03-0016","Yes","Yes","Yes",33," DEQ Simple Permit",80,5
"Shaw's Fiberglass and Plastics, Inc. ","19402 SE Foster Rd, Damascus, OR 97089, USA","www.portlandcleanair.org/files/detailed_co_info/03-0017","Yes","Yes","No",31," DEQ Title V Permit",NA,NA
"PCC Structurals, Inc. Deer Creek Campus","13350 SE Johnson Rd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-0020","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Technical Finishes & Coatings Inc. ","9120 SE 64th Ave, Portland, OR 97206, USA","www.portlandcleanair.org/files/detailed_co_info/03-0027","Yes","Yes","No",26," Plating and Polishing",NA,NA
"Dravon Medical, Inc. ","11465 SE Hwy 212, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0030","Yes","No","No",33," DEQ Simple Permit",NA,NA
"Glacier Northwest, Inc Estacada Readymix","29400 SE River Mill Rd, Estacada, OR 97023, USA","www.portlandcleanair.org/files/detailed_co_info/03-0034","Yes","No","No",9,"Other",NA,NA
"Excel Finishing, Inc. ","1765 S Red Soils Ct, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-0035","Yes","No","No",33," DEQ Simple Permit",NA,NA
"J and D Fertilizer Ltd. ","9205 S Kraxberger Rd, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0037","Yes","No","Yes",33," DEQ Simple Permit",100,90
"McClure Industries, Inc. ","9051 SE 55th Ave, Portland, OR 97206, USA","www.portlandcleanair.org/files/detailed_co_info/03-0041","Yes","Yes","Yes",33," DEQ Simple Permit",16,48
"Thermo Fluids, Inc. Clackamas Site","12533 SE Carpenter Dr, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0045","Yes","No","No",32," DEQ Standard Permit",NA,NA
"Kaiser Permanente Sunnyside Medical Center","10180 SE Sunnyside Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0051","Yes","No","No",34," DEQ Basic Permit",NA,NA
"Pesznecker Brothers, Inc. ","15500 SE 102nd Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0052","Yes","No","Yes",25," Metal Fabrication and Finishing: Large",102,40
"Automotive Innovation Inc MAACO Collision Repair","15679 SE 135th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0053","Yes","No","No",27," Surface Coating",NA,NA
"Leader Technologies, Inc. LeadTek","27555 SW Boones Ferry Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-0054","Yes","Yes","No",26," Plating and Polishing",NA,NA
"AGC Heat Transfer, Inc. Western Factory","9109 SE 64th Ave, Portland, OR 97206, USA","www.portlandcleanair.org/files/detailed_co_info/03-0057","Yes","Yes","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Oregon Pacific Metal Fabrication, LLC ","14351 S Union Hall Rd, Mulino, OR 97042, USA","www.portlandcleanair.org/files/detailed_co_info/03-0060","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Sunstone Circuits, LLC Sunstone Circuits, LLC","13626 S Freeman Rd, Mulino, OR 97042, USA","www.portlandcleanair.org/files/detailed_co_info/03-0061","Yes","Yes","Yes",26," Plating and Polishing",104,22
"Champion Collision Inc. ","16639 Champion Way, Sandy, OR 97055, USA","www.portlandcleanair.org/files/detailed_co_info/03-0062","Yes","No","No",27," Surface Coating",NA,NA
"Wishart Welding & General Fabrication, Inc. ","12670 SE Capps Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0064","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Conveyco Mfg, Co. ","15151 SE Industrial Way, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0065","Yes","No","Yes",25," Metal Fabrication and Finishing: Large",40,NA
"Wright Manufacturing, LLC ","7474 SE Johnson Creek Blvd, Portland, OR 97206, USA","www.portlandcleanair.org/files/detailed_co_info/03-0066","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"J. V. Northwest, Inc. JVNW, Inc.","390 S Redwood St, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0069","Yes","No","No",25," Metal Fabrication and Finishing: Large",NA,NA
"G.T.E. Metal Fabricators, Inc. ","24530 S Cass St, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0070","Yes","No","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Dan Enterprises, Inc. MCI Welding","15942 S Park Pl Ct, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-0072","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Quality Tank & Construction Co., Inc. ","16911 SE 362nd Dr, Sandy, OR 97055, USA","www.portlandcleanair.org/files/detailed_co_info/03-0073","Yes","No","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Austen's Body Shop, Inc. ","801 NE 4th Ave, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0077","Yes","No","No",27," Surface Coating",NA,NA
"Swan Cleaners and Tailors ","19121 S Beavercreek Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-0080","Yes","No","No",6,"Other",NA,NA
"Columbia Body Manufacturing ","10037 SE Mather Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0081","Yes","Yes","No",27," Surface Coating",NA,NA
"Ulven Forging Inc. Skookum","6160 S Whiskey Hill Rd, Hubbard, OR 97032, USA","www.portlandcleanair.org/files/detailed_co_info/03-0083","Yes","Yes","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Canby Cleaners LLC ","329 SE 1st Ave, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0085","Yes","No","No",6,"Other",NA,NA
"Steel Tech Enterprises Inc. ","1420 S Township Rd, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-0089","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"US Crane & Hoist, Inc. ","29375 SW Kinsman Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-0091","Yes","No","No",29," Metal Fabrication and Finishing: Small",NA,NA
"Dave's Killer Bread ","5209 SE International Way, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-0093","Yes","No","Yes",33," DEQ Simple Permit",36,73
"PECO, Inc, PECO Inc,, an Astronics Company","11241 SE Hwy 212, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0098","Yes","Yes","Yes",33," DEQ Simple Permit",57,25
"Portland General Electric Company Carver Readiness Center","16782 SE 130th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0099","Yes","No","No",33," DEQ Simple Permit",NA,NA
"CarMax Auto Superstores West Coast, Inc. CarMax 7285","13750 SE Johnson Rd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-0100","Yes","No","No",22,"Other",NA,NA
"Vigor Works LLC dba Oregon Iron Works","9700 SE Lawnfield Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-0110","Yes","Yes","No",25," Metal Fabrication and Finishing: Large",NA,NA
"Sanders Wood Products, Inc. RSG Forest Products, Inc.","28890 OR-213, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-1791","Yes","Yes","Yes",32," DEQ Standard Permit",7,30
"Lake-Shore Concrete Co. ","100 Foothills Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/files/detailed_co_info/03-1924","Yes","Yes","No",9,"Other",NA,NA
"Estacada Rock Products, Inc. River Mill Road site","29400 SE River Mill Rd, Estacada, OR 97023, USA","www.portlandcleanair.org/files/detailed_co_info/03-1934","Yes","No","No",8,"Other",NA,NA
"Canby Sand & Gravel Co. ","24420 OR-99E, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-2032","Yes","No","No",8,"Other",NA,NA
"West Linn Paper Company ","4800 Mill St, West Linn, OR 97068, USA","www.portlandcleanair.org/files/detailed_co_info/03-2145","Yes","Yes","Yes",31," DEQ Title V Permit",34,10
"J & A Fuel LLC Wilsonville Concrete Products","30625 SW Industrial Way, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-2475","Yes","No","No",9,"Other",NA,NA
"Orchid Orthopedic Solutions Oregon, Inc ","13963 S Fir St, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-2505","Yes","No","Yes",33," DEQ Simple Permit",87,72
"Interfor US Inc. Interfor US Inc - Molalla Division","15555 OR-211, Molalla, OR 97038, USA","www.portlandcleanair.org/files/detailed_co_info/03-2533","Yes","Yes","Yes",31," DEQ Title V Permit",4,27
"Glacier Northwest, Inc. Sandy Plant","20200 SE Firwood Rd, Sandy, OR 97055, USA","www.portlandcleanair.org/files/detailed_co_info/03-2570","Yes","Yes","No",9,"Other",NA,NA
"Oregon Cutting Systems Blount International Inc.","4909 SE International Way, Portland, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-2624","Yes","Yes","Yes",33," DEQ Simple Permit",68,49
"Eagle Foundry Co. ","23123 SE Eagle Creek Rd, Eagle Creek, OR 97022, USA","www.portlandcleanair.org/files/detailed_co_info/03-2631","Yes","Yes","Yes",32," DEQ Standard Permit",94,78
"Johnson Controls Battery Group, Inc. ","800 NW 3rd Ave, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-2634","Yes","Yes","Yes",32," DEQ Standard Permit",67,20
"WCP, Inc ","31200 SW Industrial Way, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-2657","Yes","No","No",8,"Other",NA,NA
