01-0029	01-0029_Ash_Grove_Cement	Ash Grove Cement Company - Durkee	33060 Shirttail Creek Road	Durkee	97905	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
01-0038	01-0038_Northwest Pipeline LLC	Baker Compressor Station	7.5 Miles NW of Baker City to Chandler Lane	Baker City	97814	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
02-0005	02-0005_HP_Inc	HP Inc	1070 NE CIRCLE BLVD	CORVALLIS	97330	false	P * EF * (1-CE)	true	[(C * D * K)] – W] (1 – (CE * DE) )
02-2054	02-2054_Morse Bros., Inc	Knife River Corvallis Concrete	28602 Hwy 34	Corvallis	97339	true	NA	true	NA
02-2125	02-2125_CPM Development Corporation	CPM Development Corp. dba Green & White Rock Products	28504 Payne Rd	Corvallis	97339	true	NA	true	NA
02-2173	02-2173_Hollingsworth & Vose Fiber Company	Hollingsworth & Vose Fiber Company	1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)	Corvallis	97339	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
02-2298	02-2298_Oregon State University	Oregon State University	3015 SW Western Blvd	Corvallis	97331	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
02-2524	02-2524_Oregon State Vet School	OSU Vet	College of Veterinary Medicine / Magruder hall 105	Corvallis OR	97331	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
02-7082	02-7082_Georgia-Pacific Wood Products	Philomath Georgia-Pacific Wood Products, LLC	24808 Alsea Highway	Philomath	97370	true	P * EF * (1-CE)	true	[((C * D * K) – (W * K)) (1 – (CE * DE))]
02-9502	02-9502_Valley Landfills, Inc	Valley Landfills, Inc.	28972 Coffin Butte Road	Corvallis	97330	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
02-9503	02-9503_Pacific Northwest Generating Cooperative	Pacific Northwest Generating Cooperative	29160 Coffin Butte Road	Corvalis	97330	true	P * EF * (1-CE)	false	[(C * D * K)] – W] (1 – (CE * DE) )
03-0002	03-0002_Oldcastle Precast, Inc	Oldcastle Precast, Inc.	PO Box 323, 28499 SW Boberg Rd.	Wilsonville	97070	true	NA	true	NA
03-0003	03-0003_S.R. Smith, LLC	S.R. Smith, LLC	1017 SW Berg Parkway	Canby	97013	true	P * EF * (1-CE)	true	[(C * D * K)] – W] (1 – (CE * DE) )
03-0007	03-0007_Glacier Northwest, Inc. Compressed	Glacier Northwest, Inc. - Clackamas Ready Mix	11340 SE Jennifer Street	Clackamas	97015	true	NA	true	NA
03-0009	03-0009_Atlas Industrial Coating, Inc	Atlas Industrial Coatings Inc.  DBA A.I.C., Inc.	17555 SW 63rd Ave 	Lake Oswego	97035	false	P * EF * (1-CE)	true	[(C * D * K)] – W] (1 – (CE * DE) )
03-0010	03-0010_Clackamas County Water Environment Services	Clackamas County Kellogg Creek Water Pollution Control Plant	11525 SE McLoughlin Blvd.	Milwaukie	97222	true	P * EF * (1-CE)	true	[(C * D * K)] – W] (1 – (CE * DE) )
03-0011	03-0011_Water Environment Services	Clackamas County Tri-City Water Pollution Control Plant	15941 S. Agnes Avenue	Oregon City	97045	true	P * EF * (1-CE)	true	[(C * D * K)] – W] (1 – (CE * DE) )
